time_s,K=0.0_mean,K=0.0_std,K=1.0_mean,K=1.0_std,learned_mean,learned_std
4.42,0.5972770963396344,0.08662470650959897,0.7468378458704267,0.10569791993219245,0.7385002034051078,0.10714753575065024
4.44,0.5972026288509369,0.0870171771442668,0.752815135887691,0.10912673381558556,0.7438388551984515,0.10939587230389738
4.46,0.5970215669700077,0.08744750467535466,0.7581006373677935,0.11192624213562594,0.7486187900815692,0.11108455449751557
4.48,0.5967626529080527,0.08791729217558679,0.7627150842121669,0.11427459210726257,0.7527418306895665,0.11209339983934641
4.5,0.5964548672948565,0.0884243020510005,0.7664009843553815,0.11583829974894783,0.7562708514077323,0.1126380676431491
4.5200000000000005,0.5961261945111411,0.08896229022863636,0.7693317021642413,0.11706546337256432,0.7591714688709804,0.11283125195727163
4.54,0.5957989905561719,0.08952257477001314,0.7715171320097787,0.11807499308319765,0.7615173373903547,0.11281424667594887
4.5600000000000005,0.5954831540584564,0.09009077117248324,0.7730193138122559,0.11892194569247605,0.7633878077779498,0.11267430150927953
4.58,0.5951861228261676,0.0906465627861507,0.7738046646118164,0.11949016583349308,0.7648833308901105,0.11255795406267019
4.6000000000000005,0.5949391722679138,0.09118540087312835,0.7735972234180996,0.11924360873716627,0.7664332474981036,0.11302729667497756
4.62,0.5947672341551099,0.091705127326125,0.7728395121438163,0.11882372100980335,0.7684547219957624,0.11457927375683795
4.64,0.5946792364120483,0.09219506571880758,0.7723973734038216,0.11946724126366969,0.7699774674006871,0.11570923966619744
4.66,0.5946758602346692,0.09264318880340855,0.7722202113696507,0.12094565677450837,0.7707456350326538,0.11618740496282524
4.68,0.5947551897593907,0.0930418676990587,0.7715631978852409,0.12189049687110896,0.7708892822265625,0.11629854055095579
4.7,0.5949139978204455,0.09338871066152614,0.7702507717268807,0.12193154010870204,0.7704950400761196,0.11617159867940563
4.72,0.5951486698218754,0.09368723545534127,0.7686098388263157,0.12150229536491966,0.7695672597203936,0.1158796223954835
4.74,0.5954548461096627,0.09394540001318916,0.7667171955108643,0.12074613536692062,0.7681419423648289,0.11550226058308427
4.76,0.5958264342376164,0.09417327933347149,0.7645590731075832,0.1197607619407762,0.7662123952593122,0.11504568459578736
4.78,0.5962539442947933,0.09437999782364291,0.7620775273868016,0.11863783092645493,0.7637709123747689,0.11449987458464286
4.8,0.5967252169336591,0.09457318921700851,0.7592507260186332,0.11742068324224354,0.760821350983211,0.11385658219220586
4.82,0.5972279608249664,0.09476117779983835,0.7561367920466832,0.11611272268399254,0.7574055535452706,0.11314023320747127
4.84,0.5977527754647392,0.09494985831034361,0.7527444277490888,0.11473196427455992,0.7536544033459255,0.11234365163510955
4.86,0.5982911544186729,0.09514372892874672,0.7490525926862445,0.11338077247429078,0.7496037823813302,0.11151542430385915
4.88,0.5988276813711438,0.09534955688917822,0.7450590474264962,0.11211972613411372,0.7452820369175502,0.11068238141167319
4.9,0.5993440193789346,0.09557407317822551,0.7407670021057129,0.11100401503929569,0.7407628979001727,0.10990974572176664
4.92,0.5998314831938062,0.0958186687456644,0.7361656597682408,0.110099582019453,0.736118631703513,0.10925663895045713
4.94,0.6002758911677769,0.09607909298174333,0.7312532578195844,0.10948752716193688,0.7313904421670097,0.1087175985069472
4.96,0.6006640579019275,0.09634811835306427,0.7261127063206264,0.10927221489935737,0.7266417571476528,0.108345248908233
4.98,0.6010122299194336,0.09663648737394474,0.7207797169685364,0.1094022461382099,0.7218556318964277,0.1080735476709425
5.0,0.6013294628688267,0.09695500195279241,0.7151472909109933,0.10958788070835432,0.7170560956001282,0.10797419956367522
